Customer ID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFMClass,Segment
12346,321,12,77556.46,2,5,5,255,At Risk
12347,35,7,5408.5,4,4,5,445,Champions
12348,71,5,2019.4,3,4,4,344,Loyal Customers
12349,14,4,4428.69,5,3,5,535,Loyal Customers
12350,305,1,334.4,2,1,2,212,Lost
12351,370,1,300.93,2,1,2,212,Lost
12352,31,10,2849.84,4,5,4,454,Champions
12353,199,2,406.76,2,2,2,222,Lost
12354,228,1,1079.4,2,1,3,213,Lost
12355,209,2,947.61,2,2,3,223,Lost
12356,18,6,6373.68,5,4,5,545,Champions
12357,28,3,18287.66,4,3,5,435,Loyal Customers
12358,146,4,3203.87,3,3,5,335,Loyal Customers
12359,53,10,8935.94,4,5,5,455,Champions
12360,47,8,4252.89,4,4,5,445,Champions
12361,282,4,511.25,2,3,2,232,At Risk
12362,31,10,4827.19,4,5,5,455,Champions
12363,105,2,552,3,2,2,322,Potential Loyalist
12364,3,4,1313.1,5,3,4,534,Loyal Customers
12365,286,2,641.38,2,2,3,223,Lost
12366,629,1,500.24,1,1,2,112,Lost
12368,623,1,917.7,1,1,3,113,Lost
12369,409,3,1791.15,1,3,4,134,At Risk
12370,46,7,4320.31,4,4,5,445,Champions
12371,40,5,4067.38,4,4,5,445,Champions
12372,67,3,1298.04,3,3,4,334,Loyal Customers
12373,307,3,1127.65,2,3,3,233,At Risk
12374,20,4,2989.22,4,3,5,435,Loyal Customers
12375,6,2,457.5,5,2,2,522,Recent Customers
12376,385,2,503.15,2,2,2,222,Lost
12377,310,4,3426.32,2,3,5,235,At Risk
12378,125,2,5416.32,3,2,5,325,Potential Loyalist
12379,77,4,1620.22,3,3,4,334,Loyal Customers
12380,17,11,9676.3,5,5,5,555,Champions
12381,28,4,1698.3,4,3,4,434,Loyal Customers
12383,180,5,1850.56,3,4,4,344,Loyal Customers
12384,24,2,585.27,4,2,2,422,Recent Customers
12385,374,1,1938.4,2,1,4,214,Lost
12386,333,2,660.8,2,2,3,223,Lost
12387,410,1,143.94,1,1,1,111,Lost
12388,11,8,3901.11,5,4,5,545,Champions
12389,398,3,1433.33,2,3,4,234,At Risk
12390,75,1,549.84,3,1,2,312,Potential Loyalist
12391,17,6,2773.42,5,4,4,544,Champions
12392,586,1,234.75,1,1,1,111,Lost
12393,67,6,2399.45,3,4,4,344,Loyal Customers
12394,59,2,1272.48,4,2,4,424,Recent Customers
12395,14,15,5067.27,5,5,5,555,Champions
12396,669,1,931.43,1,1,3,113,Lost
12397,31,2,2409.9,4,2,4,424,Recent Customers
12398,41,1,1635.66,4,1,4,414,Recent Customers
12399,115,7,1962.3,3,4,4,344,Loyal Customers
12400,409,1,205.25,1,1,1,111,Lost
12401,298,1,84.3,2,1,1,211,Lost
12402,318,6,1256.9,2,4,4,244,At Risk
12403,45,2,1019.36,4,2,3,423,Recent Customers
12404,677,1,63.24,1,1,1,111,Lost
12405,144,1,1710.39,3,1,4,314,Potential Loyalist
12406,17,5,6390.36,5,4,5,545,Champions
12407,45,5,1708.12,4,4,4,444,Champions
12408,28,8,4340.77,4,4,5,445,Champions
12409,74,7,23419.29,3,4,5,345,Loyal Customers
12410,304,3,1013.71,2,3,3,233,At Risk
12411,405,1,346.9,2,1,2,212,Lost
12412,70,6,2596.93,3,4,4,344,Loyal Customers
12413,62,4,999.45,3,3,3,333,Loyal Customers
12414,212,6,952.41,2,4,3,243,At Risk
12415,19,28,144458.37,5,5,5,555,Champions
12416,652,1,202.56,1,1,1,111,Lost
12417,34,19,6447.18,4,5,5,455,Champions
12418,108,4,2021.2,3,3,4,334,Loyal Customers
12419,381,2,503.01,2,2,2,222,Lost
12420,59,1,600.39,4,1,2,412,Recent Customers
12421,11,6,1098.6,5,4,3,543,Loyal Customers
12422,91,17,5231.8,3,5,5,355,Loyal Customers
12423,96,9,2413.75,3,5,4,354,Loyal Customers
12424,158,4,3340.03,3,3,5,335,Loyal Customers
12425,73,2,1741.41,3,2,4,324,Potential Loyalist
12426,190,2,1345.21,3,2,4,324,Potential Loyalist
12427,17,3,1129.3,5,3,3,533,Loyal Customers
12428,21,9,7956.46,4,5,5,455,Champions
12429,4,8,7485.91,5,4,5,545,Champions
12430,38,1,256.4,4,1,1,411,Recent Customers
12431,31,27,10857.97,4,5,5,455,Champions
12432,38,5,5059.32,4,4,5,445,Champions
12433,4,8,17942.57,5,4,5,545,Champions
12434,80,3,1103.43,3,3,3,333,Loyal Customers
12435,75,6,13925.93,3,4,5,345,Loyal Customers
12436,95,1,509.01,3,1,2,312,Potential Loyalist
12437,4,38,12517.5,5,5,5,555,Champions
12438,9,2,2906.85,5,2,4,524,Recent Customers
12439,678,2,1158.18,1,2,3,123,Lost
12440,458,2,859.2,1,2,3,123,Lost
12441,362,1,347.1,2,1,2,212,Lost
12443,727,1,485.31,1,1,2,112,Lost
12444,16,5,5005.46,5,4,5,545,Champions
12445,17,2,434.98,5,2,2,522,Recent Customers
12446,53,1,1002.31,4,1,3,413,Recent Customers
12447,238,1,476.49,2,1,2,212,Lost
12448,39,1,449.45,4,1,2,412,Recent Customers
12449,17,6,4835.89,5,4,5,545,Champions
12450,151,5,688.2,3,4,3,343,Loyal Customers
12451,6,8,12669.88,5,4,5,545,Champions
12452,12,2,430.57,5,2,2,522,Recent Customers
12453,129,1,707.09,3,1,3,313,Potential Loyalist
12454,51,5,16679.78,4,4,5,445,Champions
12455,68,10,5879.95,3,5,5,355,Loyal Customers
12456,39,3,3181.04,4,3,5,435,Loyal Customers
12457,62,8,2995.91,3,4,5,345,Loyal Customers
12458,66,4,1777.49,3,3,4,334,Loyal Customers
12459,600,1,454.36,1,1,2,112,Lost
12460,451,1,326.65,1,1,2,112,Lost
12461,89,2,826.88,3,2,3,323,Potential Loyalist
12462,14,2,1189.59,5,2,3,523,Recent Customers
12463,48,4,1344.78,4,3,4,434,Loyal Customers
12464,5,8,1212.05,5,4,3,543,Loyal Customers
12465,12,2,742.19,5,2,3,523,Recent Customers
12466,677,1,56.73,1,1,1,111,Lost
12467,418,1,132.8,1,1,1,111,Lost
12468,183,5,3670.74,3,4,5,345,Loyal Customers
12469,518,2,3070.54,1,2,5,125,Lost
12470,685,1,211.95,1,1,1,111,Lost
12471,6,78,37725.28,5,5,5,555,Champions
12472,27,19,17880.59,4,5,5,455,Champions
12473,24,5,3938.55,4,4,5,445,Champions
12474,12,31,12424.45,5,5,5,555,Champions
12475,49,2,1149.64,4,2,3,423,Recent Customers
12476,11,23,14115.41,5,5,5,555,Champions
12477,18,9,20276.37,5,5,5,555,Champions
12479,6,1,527.2,5,1,2,512,Recent Customers
12480,23,7,5464.85,4,4,5,445,Champions
12481,18,15,12361.39,5,5,5,555,Champions
12482,571,29,23691.4,1,5,5,155,At Risk
12483,12,19,5120.58,5,5,5,555,Champions
12484,28,12,6370.15,4,5,5,455,Champions
12485,524,1,708.1,1,1,3,113,Lost
12486,427,1,1037.28,1,1,3,113,Lost
12487,726,1,285.3,1,1,1,111,Lost
12488,5,3,1298.66,5,3,4,534,Loyal Customers
12489,332,1,334.93,2,1,2,212,Lost
12490,13,20,9361.34,5,5,5,555,Champions
12491,34,1,460.4,4,1,2,412,Recent Customers
12492,58,3,715.21,4,3,3,433,Loyal Customers
12493,161,2,433.74,3,2,2,322,Potential Loyalist
12494,11,9,1872.87,5,5,4,554,Champions
12495,636,1,357.4,1,1,2,112,Lost
12496,615,2,54.09,1,2,1,121,Lost
12497,77,3,6248.5,3,3,5,335,Loyal Customers
12498,17,3,403.7,5,3,2,532,Potential Loyalist
12499,555,1,393.72,1,1,2,112,Lost
12500,18,19,5955.21,5,5,5,555,Champions
12501,332,1,2169.39,2,1,4,214,Lost
12502,91,5,3723.87,3,4,5,345,Loyal Customers
12503,579,1,1126,1,1,3,113,Lost
12504,13,4,779.05,5,3,3,533,Loyal Customers
12505,404,1,955.2,2,1,3,213,Lost
12506,228,1,73.5,2,1,1,211,Lost
12507,129,4,1844.06,3,3,4,334,Loyal Customers
12508,21,2,398.27,4,2,2,422,Recent Customers
12509,279,1,176.5,2,1,1,211,Lost
12510,138,9,5178.02,3,5,5,355,Loyal Customers
12511,424,1,3084.02,1,1,5,115,Lost
12512,61,2,138.03,3,2,1,321,Potential Loyalist
12513,108,1,612.29,3,1,2,312,Potential Loyalist
12514,262,2,1597.76,2,2,4,224,Lost
12515,348,1,383.7,2,1,2,212,Lost
12516,73,4,2648.62,3,3,4,334,Loyal Customers
12517,23,5,2502.84,4,4,4,444,Champions
12518,24,4,1717.75,4,3,4,434,Loyal Customers
12519,59,2,726.54,4,2,3,423,Recent Customers
12520,74,5,2634.26,3,4,4,344,Loyal Customers
12521,138,1,599.68,3,1,2,312,Potential Loyalist
12522,34,2,192.72,4,2,1,421,Recent Customers
12523,15,23,4372.15,5,5,5,555,Champions
12524,4,17,11126.11,5,5,5,555,Champions
12525,493,3,973.73,1,3,3,133,At Risk
12526,49,2,1039.58,4,2,3,423,Recent Customers
12527,77,5,735.51,3,4,3,343,Loyal Customers
12528,4,6,1933.48,5,4,4,544,Champions
12529,524,1,316.48,1,1,2,112,Lost
12530,55,9,3759.26,4,5,5,455,Champions
12531,10,2,1933.2,5,2,4,524,Recent Customers
12532,25,1,349.83,4,1,2,412,Recent Customers
12533,623,2,1367.89,1,2,4,124,Lost
12534,126,1,1089.18,3,1,3,313,Potential Loyalist
12535,87,2,716.35,3,2,3,323,Potential Loyalist
12536,38,3,12601.83,4,3,5,435,Loyal Customers
12537,404,1,732.94,2,1,3,213,Lost
12538,24,2,640.45,4,2,3,423,Recent Customers
12539,17,7,11214.75,5,4,5,545,Champions
12540,15,33,22254.49,5,5,5,555,Champions
12541,25,3,981.18,4,3,3,433,Loyal Customers
12542,479,2,481.88,1,2,2,122,Lost
12543,443,1,980.25,1,1,3,113,Lost
12544,31,1,372.7,4,1,2,412,Recent Customers
12545,70,2,1000.39,3,2,3,323,Potential Loyalist
12546,42,2,1161.5,4,2,3,423,Recent Customers
12547,193,3,383.58,2,3,2,232,At Risk
12548,161,1,95.2,3,1,1,311,Potential Loyalist
12549,571,6,1575.68,1,4,4,144,At Risk
